Rank,Severity,Category,Surface,File,Line,Issue,Recommendation
98,Medium,Code Convention,API Layer,features/notifications/useNotificationSocket.ts,142,"useNotificationSocket's useEffect directly calls registerDeviceTokenApiCall/removeDeviceTokenByDeviceIdApiCall instead of wrapping the device-token registration in useMutation, bypassing TanStack Query for this API call.","Wrap the device-token register/unregister calls in useMutation, keeping only the FCM/SSE wiring itself in useEffect."
99,Medium,Code Convention,API Layer,features/dashboard/pinnedLinks/service.ts,2,"Relative import goes up two directory levels (""../../shared/api-response"") instead of using the @/ alias used everywhere else.","Change to import { unwrap } from ""@/features/shared/api-response""."
100,Medium,Code Convention,API Layer,features/business/team/service.ts,2,"Relative import goes up two directory levels (""../../shared/api-response"") instead of the @/ alias convention used elsewhere in the codebase.","Change to import { unwrap } from ""@/features/shared/api-response""."
101,Medium,Code Convention,API Layer,features/business/menu/service.ts,2,"Relative import goes up two directory levels (""../../shared/api-response"") instead of the @/ alias convention.","Change to import { unwrap } from ""@/features/shared/api-response""."
102,Medium,Design Consistency,Pages/Routing,pages/manage/@id/staff/tasks/+Page.tsx,61,"StatusUpdateDialog and TaskCard are near-duplicate copies of the same components defined independently in the owner tasks page, risking behavior drift.","Share one component between owner and staff task pages instead of maintaining two copies."
103,Medium,Code Convention,Pages/Routing,pages/learn/+Page.tsx,301,"TutorialContent (~146 lines) and TutorialSidebar (~117 lines, line 94) are large inline components defined inside +Page.tsx rather than components/.","Extract TutorialContent and TutorialSidebar into components/learn/*.tsx."
104,Medium,Code Convention,Pages/Routing,pages/profile/jobs/+Page.tsx,64,"ApplicationsTab (~134 lines) and InvitationsTab (~110 lines, line 199) are large inline tab components defined directly in the +Page.tsx.","Extract into components/profile/jobs/*.tsx."
105,Medium,Mobile Responsiveness,Pages/Routing,pages/diner/@businessId/+Layout.tsx,220,"Fixed bottom navigation bar has no safe-area-inset-bottom padding, so on notched iPhones the nav can sit flush against/behind the home-indicator gesture area.","Add pb-[env(safe-area-inset-bottom)] (or equivalent) to the nav container."
106,Medium,Design Consistency,Pages/Routing,pages/login/+Page.tsx,54,"Auth pages (login, signup, forgot-password, reset-password) hardcode bg-white text-zinc-900 and inline hex colors (#6366F1/#5859E9) instead of the design system's bg-background/text-foreground/primary tokens.","Replace hardcoded colors/hex values with semantic Tailwind tokens so auth pages respect theme/dark mode like the rest of the app."
107,Medium,Design Consistency,Pages/Routing,pages/signup/+Page.tsx,118,"Same hardcoded #6366F1 hex color and zinc palette pattern duplicated from login/reset/forgot-password pages.","Consolidate into a shared AuthLayout using design tokens."
108,Medium,Design Consistency,Pages/Routing,pages/support/+Page.tsx,85,"Page-level container uses max-w-5xl with fixed px-6 instead of the design system's specified max-w-7xl and responsive px-4 sm:px-6 lg:px-8.","Align container width/padding with DESIGN_SYSTEM.md spec."
109,Medium,Design Consistency,Pages/Routing,pages/terms/+Page.tsx,93,"Page-level container uses max-w-5xl with fixed px-6 instead of the documented max-w-7xl / px-4 sm:px-6 lg:px-8 pattern, same as privacy and gdpr pages.","Align container width/padding with DESIGN_SYSTEM.md spec."
110,Medium,Design Consistency,Pages/Routing,pages/gdpr/+Page.tsx,84,"Page-level container uses max-w-5xl with fixed px-6 instead of the documented max-w-7xl / px-4 sm:px-6 lg:px-8 pattern.","Align container width/padding with DESIGN_SYSTEM.md spec."
111,Medium,Architecture Violation,Pages/Routing,pages/tfa/+Page.tsx,1,"Two-factor page mixes verification API-call logic and logout handling directly in the component body alongside the direct service import noted separately.","Consolidate into the same feature hook used to fix the direct service import."
112,Medium,Architecture Violation,Pages/Routing,pages/login/+Page.tsx,46,"Page reads/removes an auth-related flag (auth_logout_reason) directly via localStorage instead of the SecureStorage abstraction.","Route this through @/misc/SecureStorage like other auth/session data."
113,Low,Mobile Responsiveness,Admin/Management,components/management/BusinessHoursInput.tsx,62,"Root container uses fixed p-8 padding and min-h-screen instead of responsive page padding, and h1 uses text-3xl with no smaller mobile variant.","Use px-4 sm:px-6 lg:px-8 padding and text-2xl sm:text-3xl for the heading."
114,Low,Mobile Responsiveness,Admin/Management,components/management/attendance/EditAttendanceModal.tsx,69,"grid-cols-4 label/input rows inside a sm:max-w-[425px] dialog have no mobile-specific fallback (label gets very cramped at narrow widths), repeated pattern across many schedule/reservation modals.","Consider grid-cols-3 sm:grid-cols-4 or stacking label above input below sm breakpoint."
115,Low,Mobile Responsiveness,Admin/Management,components/management/attendance/ClockInQrDialog.tsx,83,"QR code container is fixed h-[200px] w-[200px] with no responsive scaling for very small viewports.","Use a responsive size e.g. h-40 w-40 sm:h-[200px] sm:w-[200px]."
116,Low,Mobile Responsiveness,Admin/Management,components/management/inventory/AdjustStockModal.tsx,80,"TabsList uses grid-cols-4 with w-full and no responsive fallback, tab labels can be cramped on narrow dialog widths.","Consider a 2-column grid on very small screens or shrink label text with truncate."
117,Low,Design Consistency,Admin/Management,components/management/settings/BusinessSettingsLabor.tsx,75,"Row hover containers use rounded-sm (repeated at lines 89, 103, 120, 134, 148, 163, 188, 200) which is the input-radius convention, inconsistent with sibling rows elsewhere that use rounded-md/lg.","Use rounded-md for row hover backgrounds to align with convention."
118,Low,Design Consistency,Admin/Management,components/management/menu/ItemsDuplicationModal.tsx,119,"Conditional classNames are built with template literals instead of the cn() helper (also lines 169, 175, 180).","Refactor to cn() from @/lib/utils for conditional class composition."
119,Low,Design Consistency,Admin/Management,components/management/dashboard/WelcomeChecklist.tsx,121,"Conditional className built via template literal string interpolation instead of cn(), and step text falls back to hardcoded text-zinc-800 dark:text-zinc-100 rather than a token.","Use cn() for the conditional classes and text-foreground for the base color."
120,Low,Design Consistency,Admin/Management,components/management/staff/teams/CreateEditTeamModal.tsx,32,"colorCode default fallback hardcodes ""#000000"" rather than referencing a token/default swatch consistent with ShiftTemplateModal.tsx:34.","Define a shared default color constant sourced from the palette instead of duplicating hex literals."
121,Low,Design Consistency,Admin/Management,components/management/schedule/ManagerScheduleShiftsTab.tsx,92,"Inline style={{ backgroundColor: template.colorCode || '#ccc' }} hardcodes a fallback gray hex instead of a token.","Fall back to a CSS variable/token (e.g. var(--muted)) instead of a raw hex value."
122,Low,Design Consistency,Admin/Management,components/management/staff/teams/TeamsSection.tsx,136,"Same hardcoded '#ccc' fallback color pattern as ManagerScheduleShiftsTab.tsx, duplicated logic increases risk of future drift from tokens.","Centralize the fallback color as a shared constant tied to a design token."
123,Low,Code Convention,Admin/Management,components/management/settings/BusinessSettingsLocation.tsx,21,"Relative import goes up two directory levels (../../ClientOnly) instead of using the @/ path alias required by project conventions.","Change to import { ClientOnly } from ""@/components/ClientOnly""."
124,Low,Code Convention,Admin/Management,components/management/schedule/BulkStaffWeeklySetupModal.tsx,149,"Raw native <input type=""radio""> elements are used instead of the shadcn RadioGroup/RadioGroupItem primitives used elsewhere in the codebase.","Replace with @/components/ui/radio-group for consistent styling and accessibility."
125,Low,Code Convention,Admin/Management,components/management/dashboard/WelcomeChecklist.tsx,23,"Directly reads/writes localStorage for dismiss-state instead of going through the project's storage abstraction.","Route through @/misc/SecureStorage (or a dedicated local UI-prefs helper) rather than calling localStorage directly."
126,Low,Code Convention,Admin/Management,components/management/DashboardOrdersGraph.tsx,23,"Component renders hardcoded placeholder chartData (""Septembner 2025"" typo) instead of wiring to real query data, and appears to be leftover scaffold code still present in the management directory.","Wire the chart to a real useQuery hook or remove the unused placeholder component."
127,Low,Code Convention,Admin/Management,components/management/DashboardSalesGraph.tsx,21,"Same as DashboardOrdersGraph.tsx: hardcoded mock chart data left in place rather than fetched via TanStack Query.","Wire to real query data or remove if unused."
128,Low,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerModeWatcher.tsx,30,"Fixed bottom-6 seated-reservation nudge has no safe-area-inset-bottom handling.","Add safe-area padding for iOS devices with a home indicator."
129,Low,Mobile Responsiveness,Customer/Public,components/profile/settings/NotificationPreferencesSettings.tsx,106,"Notification matrix uses a fixed grid-cols-[1fr_repeat(3,3.5rem)] with no smaller-screen adjustment; long labels combined with three 56px switch columns leave very little width for the label on narrow phones.","Consider stacking channel columns or shrinking column width further on small screens."
130,Low,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerModeHeader.tsx,44,"Exit (""X"") button in the diner header uses the default icon Button size with a w-4 h-4 icon; combined with the shrink-0 logo it's a fairly small tap target for the header's only navigation action on a phone.","Verify the rendered size is at least 36-40px, or bump to size-10 for a more comfortable header exit tap target."
131,Low,Mobile Responsiveness,Customer/Public,components/business_details/BusinessDetailsReserveTableModal.tsx,250,"Pre-order quantity +/- buttons in the reservation modal are h-7 w-7 (28px), a small touch target inside an already narrow accordion row.","Increase to at least 32-36px for easier tapping."
132,Low,Design Consistency,Customer/Public,components/landing/LandingFaqSection.tsx,39,"Same non-conforming py-16 px-4 wrapper pattern instead of the documented section/container structure.","Align with the documented section structure."
133,Low,Design Consistency,Customer/Public,components/landing/LandingPricingSection.tsx,185,"Outer container uses py-16 sm:py-20 (missing md:py-24) and px-4 sm:px-8 instead of the documented py-16 md:py-24 / px-4 sm:px-6 lg:px-8 scale.","Align spacing scale with DESIGN_SYSTEM.md section convention."
134,Low,Design Consistency,Customer/Public,components/business_details/BusinessDetailsTableReservation.tsx,212,"Date/time and guest pickers use raw native <select> elements with custom appearance-none styling instead of the shadcn Select component used elsewhere in the app.","Replace with the shared Select/SelectTrigger/SelectContent components for consistent styling and keyboard/a11y behavior."
135,Low,Design Consistency,Customer/Public,components/marketplace/MarketplaceCard.tsx,88,"In-stock badge uses hardcoded bg-green-500/15 text-green-500 instead of a design token.","Use a token-based success color or align with other ""available/in stock"" badges in the app."
136,Low,Design Consistency,Customer/Public,components/feed/PublicFeedSearchHero.tsx,25,"Hero section uses container mx-auto px-4 instead of the documented max-w-7xl mx-auto px-4 sm:px-6 lg:px-8 container pattern.","Align container/padding with the documented section structure."
137,Low,Design Consistency,Customer/Public,components/landing/LandingPricingSection.tsx,95,"isHighlighted plan uses bg-gradient-to-b from-[#8A89F9] to-[#6366F1] and ring-[#8A89F9]/50 -- sanctioned exception hexes per DESIGN_SYSTEM.md, but duplicated literally in two places without a shared token/class.","Extract the featured-card gradient/ring into a reusable class or CSS variable to avoid drift between copies."
138,Low,Design Consistency,Customer/Public,components/jobs/ApplicationTimeline.tsx,124,"Terminal-state banners use hardcoded bg-green-50 border-green-200 text-green-800 and bg-emerald-50 border-emerald-200 text-emerald-800 rather than tokens.","Consolidate to a token-based success style."
139,Low,Design Consistency,Customer/Public,components/business_details/FloorPlanPublicView.tsx,491,"Floor-plan canvas wrapper uses bg-slate-50 (raw Tailwind gray) instead of a bg-muted token for its background.","Use bg-muted for the canvas background to stay consistent with token usage elsewhere."
140,Low,Code Convention,Customer/Public,"components/landing/ProblemSolutionSection copy.tsx",1,"Orphaned duplicate file (237 lines) with a space in its filename, not imported anywhere in the codebase.","Delete the stale copy; it is leftover cruft that risks confusing future edits."
141,Low,Code Convention,Customer/Public,components/profile/settings/SessionManagementSettings.tsx,14,"Leftover console.log debug statement in handleDisconnect.","Remove the console.log before shipping."
142,Low,Code Convention,Customer/Public,components/landing/AnimatedScrollArrow.tsx,1,"useEffect is used for a purely visual anime.js entrance animation (not data fetching), which is fine, but the effect's cleanup pattern (scope.current.revert() without an optional-chaining guard) differs from the ref-guarded pattern used in every other landing animation component.","Align with the scope.current?.revert() pattern used elsewhere for consistency."
143,Low,Mobile Responsiveness,Staff/POS/Station,components/pos/AttendanceQrDialog.tsx,85,"QR code is rendered at a fixed size={200} instead of scaling with container width like QrcodePopup does.","Use a responsive width (e.g. width:100%, maxWidth) as done in components/shared/QrcodePopup.tsx."
144,Low,Mobile Responsiveness,Staff/POS/Station,components/station/StationBootstrap.tsx,103,"Full-height loading/error screens force min-h-screen with no accounting for tablet safe-areas, acceptable for kiosk but worth confirming with device chrome.","Verify safe-area padding on kiosk browser chrome if applicable."
145,Low,Mobile Responsiveness,Staff/POS/Station,components/pos/OrderCart.tsx,91,"OrderCart panel has no defined width and relies entirely on parent flex sizing; on very narrow layouts (station split view) totals/buttons could compress without a documented min-width fallback.","Confirm a sensible min-w on the cart column for narrow viewport/split-screen station layouts."
146,Low,Code Convention,Staff/POS/Station,components/notifications/NotificationList.tsx,128,"Conditional classNames built with template-literal string concatenation instead of cn() from @/lib/utils.","Use cn(""p-4 flex gap-4 ..."", !isRead && ""bg-muted/20"")."
147,Low,Code Convention,Staff/POS/Station,components/notifications/NotificationBubble.tsx,125,"Conditional classNames built with template-literal string concatenation instead of cn().","Use cn() for conditional classes as elsewhere in the codebase."
148,Low,Code Convention,Staff/POS/Station,components/pos/StaffPinScreen.tsx,125,"Numpad button classNames use template-literal concatenation instead of cn().","Use cn() for conditional classes."
149,Low,Code Convention,Staff/POS/Station,components/payments/LemonPaymentOverlay.tsx,13,"Multiple leftover console.log debug statements left in production code.","Remove debug console.log calls."
150,Low,Code Convention,Staff/POS/Station,components/notifications/NotificationBubble.tsx,128,"Icon visually resized via a scale-75 transform hack instead of using the smaller Lucide size class directly.","Use an explicit w-4 h-4 icon variant instead of CSS-scaling a w-5 h-5 icon."
151,Low,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsTimeFilter.tsx,50,"SelectTrigger uses hardcoded bg-white dark:bg-zinc-950 instead of bg-card/bg-background token.","Use bg-card or remove the override to inherit token-based styling."
152,Low,Design Consistency,Staff/POS/Station,components/pos/ProductCard.tsx,27,"Product card uses rounded-2xl while the design system specifies rounded-xl for cards.","Use rounded-xl to match documented card radius."
153,Low,Design Consistency,Staff/POS/Station,components/shared/ConfirmAction.tsx,71,"Popover confirmation text uses text-zinc-500/text-zinc-600 instead of text-muted-foreground token.","Replace with text-muted-foreground for token consistency."
154,Low,Design Consistency,Staff/POS/Station,components/inputs/AddressAutocomplete.tsx,112,"Autocomplete dropdown uses hardcoded bg-white instead of bg-popover/bg-card token, so it won't adapt in dark mode.","Use bg-popover to match other dropdown surfaces."
155,Low,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsRevenueChart.tsx,32,"Card uses shadow-sm, an arbitrary shadow value outside the documented shadow-lg (standard) / shadow-2xl (featured) scale used elsewhere in the app.","Standardize on shadow-lg per design system guidance."
156,Low,Code Convention,API Layer,features/notifications/useNotificationSocket.ts,20,"fcm_device_id is stored in plain localStorage rather than SecureStorage; not a bearer token itself but it's a persistent per-device identifier tied to push notification delivery for the authenticated user.","Consider moving to SecureStorage for consistency with other identifiers, or document why this one is exempt."
157,Low,Code Convention,API Layer,features/profileSettings/usePasswordSettings.ts,4,"Imports AxiosError directly from 'axios' in a hook file; harmless as a type-only import but inconsistent with the pattern of never touching axios outside service.ts/flairapi.ts.","Consider re-exporting an app-level error-type helper instead of importing axios directly in hook files, for consistency."
158,Low,Code Convention,API Layer,features/auth/useAuth.ts,13,"Imports AxiosError directly from 'axios' in a hook file, same pattern as usePasswordSettings.ts.","Same as above -- consider a shared error-type wrapper instead of a direct axios import in hooks."
159,Low,Code Convention,Pages/Routing,pages/join/+guard.ts,8,"Leftover debug console.log of the user object left in guard code that runs on every request to this route.","Remove the console.log before merging."
160,Low,Design Consistency,Pages/Routing,pages/manage/@id/owner/jobs/@jobId/applications/+Page.tsx,94,"Page uses hardcoded zinc-* utility classes (bg-white text-zinc-900, text-zinc-500, bg-zinc-100, etc.) instead of semantic muted-foreground/foreground/card tokens used elsewhere in manage/.","Swap zinc-* literals for bg-card/text-muted-foreground/bg-muted tokens."
161,Low,Design Consistency,Pages/Routing,pages/manage/@id/owner/menu/+Page.tsx,1,"Page uses hardcoded zinc-* color classes rather than the design system's semantic color tokens.","Swap zinc-* literals for semantic tokens for dark-mode consistency."
162,Low,Design Consistency,Pages/Routing,pages/business/@id/+Page.tsx,74,"Page containers use max-w-6xl px-6 rather than the documented max-w-7xl px-4 sm:px-6 lg:px-8.","Align with DESIGN_SYSTEM.md spec or document the exception."
163,Low,Design Consistency,Pages/Routing,pages/manage/join/+Page.tsx,96,"Multiple containers on this page use max-w-6xl px-6 instead of the documented max-w-7xl / responsive padding pattern.","Align with DESIGN_SYSTEM.md spec."
164,Low,Design Consistency,Pages/Routing,pages/manage/(global)/overview/+Page.tsx,36,"Page container uses max-w-6xl instead of the documented max-w-7xl.","Align with DESIGN_SYSTEM.md spec."
165,Low,Design Consistency,Pages/Routing,pages/manage/(global)/plans/+Page.tsx,89,"Container uses max-w-6xl instead of the documented max-w-7xl page width.","Align with DESIGN_SYSTEM.md spec."
166,Low,Design Consistency,Pages/Routing,pages/manage/@id/owner/staff/+Page.tsx,74,"min-w-[120px] TabsTrigger widths are duplicated verbatim in staff/staff/+Page.tsx and owner/staff/+Page.tsx instead of a shared tab-list component.","Extract a shared ManagementTabs component to avoid drift between owner/staff variants."
167,Low,Mobile Responsiveness,Pages/Routing,pages/index/+Page.tsx,45,"Hero section uses an unusual pt-50 md:pt-20 top padding jump (200px to 80px) rather than a smoother responsive scale, likely a byproduct of the same header-offset inconsistency seen in learn/+Page.tsx.","Verify against the actual LandingHeader height and use a standard offset scale (e.g. pt-24 sm:pt-20)."
168,Low,Code Convention,Pages/Routing,pages/manage/@id/owner/menu/@menuId/+Page.tsx,149,"View-mode default is decided by reading window.innerWidth directly in a useEffect inside the page rather than via a shared responsive hook.","Use a shared useIsMobile-style hook (already present in hooks/use-mobile) instead of inline window.innerWidth checks."
169,Low,Mobile Responsiveness,Pages/Routing,pages/manage/@id/owner/announcements/+Page.tsx,256,"Compose dialog's audience selector uses a fixed grid-cols-3 with no smaller-screen fallback inside a max-w-lg dialog, which is cramped on narrow phones.","Consider grid-cols-1 sm:grid-cols-3 for the audience picker."
170,Low,Mobile Responsiveness,Pages/Routing,pages/manage/@id/owner/floor-plan/+Page.tsx,375,"Form dialogs use fixed grid-cols-2 with no responsive breakpoint.","Add a stacked mobile fallback (grid-cols-1 sm:grid-cols-2)."
